Class Index,Title,Description
4,RFID gets a reality check,"At Baltimore pow-wow, hype over new electronic tracking technology is tempered by concerns about cost, privacy and quality."
1,In the Eye of the Storms,"For much of last month's siege at a Russian school, it was left to a Moscow pediatrician known for his work at crisis scenes to mediate the standoff on the telephone."
4,Ballmer #39;s Linux Spin,Microsoft #39;s CEO argues that Windows is cheaper and more secure than its open-source rival. Do the facts support him? By John Foley.
1,South Korea's nuclear research not linked to weapons: US (AFP),"AFP - South Korea's nuclear research is not linked to any manufacture of atomic weapons, the United States said."
4,Activists Show Alleged eVoting Machine Flaws,By ERICA WERNER    WASHINGTON (AP) -- Activists and computer programmers Wednesday demonstrated what they said were flaws with electronic voting machines that could allow hackers to change vote outcomes Nov. 2...
1,Two Blasts Rock Kazakh Ruling Party's Headquarters (Reuters),"Reuters - Two powerful blasts rocked\the headquarters of President Nursultan Nazarbayev's ruling\Otan (Fatherland) party in Almaty's busy central district\Sunday evening, a spokeswoman for the Emergencies Agency said."
2,Newman Claims Eighth Pole,"HAMPTON, Ga. - Ryan Newman blew to his third pole position in as many races Friday night at Atlanta Motor Speedway, but not without a challenge from red-hot Joe Nemechek."
3,Redefining the role of academic research,"Charles M. Vest, who will be stepping down next month as the president of MIT, personifies his school's famed ''engineering mentality. quot; Simply put, this is the inclination to find a problem and fix it."
1,Iran talks tough on nukes,"Tehran - Iran #39;s top nuclear official said on Sunday the Islamic republic would refuse to accept any limitations on its nuclear activities, and threatened to halt tough UN inspections if the case was referred to the Security Council."
3,Brown defends economic record,"Chancellor Gordon Brown has defended his stewardship of the economy, telling MPs there is no 10 billion black hole in the public finances."
2,Sportsview: Sutton Gets Ryder Cup Bill (AP),"AP - When U.S. captain Hal Sutton sent Tiger Woods and Phil Mickelson out as his lead pair in the Ryder Cup, he didn't even want to think about what would happen if they got beat."
4,Systems  #39;Go #39; in Utah Helicopter Snag of NASA Probe,Two Hollywood stunt pilots and a space capsule full of stardust were on track for a historic mid-air encounter above the Utah desert on Wednesday at the end of 
3,Citigroup unit fined and censured by NASD,"NEW YORK, October 25 (newratings.com) - Citigroup Global Markets Inc has been censured and asked to pay a fine of \$250,000 by the NASD (National Association of the Securities Dealers), for allegedly distributing inappropriate hedge fund sales literature "
3,Citigroup to buy First American Bank in Texas,"NEW YORK : Citigroup, the world #39;s biggest financial firm, said it has agreed to buy Texas-based First American Bank for an undisclosed sum."
2,"Tressel, Ferentz Discuss Upcoming Matchup","As usual, the Big Ten coaches were out in full force at today #39;s Big Ten Teleconference. Both OSU head coach Jim Tressel and Iowa head coach Kirk Ferentz offered some thoughts on the upcoming game between OSU "
3,Panel Chief Denies Knowing About Item on Inspecting Tax Returns,The chairman of the appropriations subcommittee with jurisdiction over the I.R.S. budget said the measure had been inserted without his knowledge.
1,How Would They End the War?,President Bush and John Kerry have said little more than that each will end the war the right way and his opponent will not.
3,"Delta Reaches Deal With Pilots, Averting Chapter 11 Filing","Delta reached a tentative agreement with its pilots' union Wednesday night on wage and benefit cuts, averting a threatened bankruptcy filing, at least for now."
2,Mutu Banned Seven Months by English FA for Taking Cocaine,"Adrian Mutu, fired by Chelsea last week after failing a doping test for cocaine, was banned for seven months and fined 20,000 pounds (\$36,800) by England #39;s Football Association."
4,"SBC to Combine E-Mail, Voicemail, Faxes (AP)","AP - It's what executives of SBC Communications Inc. call their vision for the future: combining voicemail, e-mail and incoming fax messages in one system that can be accessed on the Web or on the phone."
1,Volkswagen to Open Assembly Plant in UAE (AP),"AP - German carmaker Volkswagen AG will begin assembling heavy trucks in the United Arab Emirates beginning in 2006, a spokesman said Monday."
1,Ivory Coast rebels ask Mbeki to help with security,"Ivory Coast #39;s rebels have asked President Thabo Mbeki to help provide security when they begin to disarm. Laurent Gbagbo, Ivory Coast #39;s president, has acceded to Mbeki #39;s request to create a conducive atmosphere "
4,Defendants Accused of Sending Spam,Three people who allegedly sent America Online customers millions of junk e-mail messages touting penny stocks and other Internet gimmicks went on trial Tuesday in the nation's first such felony case.
3,FERC faulted for failing to order refunds for California power &lt;b&gt;...&lt;/b&gt;,"The Federal Energy Regulatory Commission, which has refused to approve California #39;s demand for \$2.8 billion in refunds from power companies found to have gouged the state during the 2000-2001 energy crisis, has been ordered to rethink its position and "
4,RealNetworks launches music-download price war,Seattle online media company RealNetworks Inc. on Tuesday said a new campaign to attract subscribers to its music download service will add about a penny per share to its third-quarter net loss. 
3,DaVita to acquire Gambro #39;s US clinics for \$3.1bn,"NEW YORK, December 7 (newratings.com) - DaVita Inc (DVA.NYS) has agreed to acquire Gambros dialysis clinics in the US for \$3.1 billion in cash, a Bloomberg article said today."
2,LIONS MUST DO WITHOUT JONES,"Detroit Lions rookie running back Kevin Jones will be sidelined at least two weeks with a high right ankle sprain. Since the Lions have a bye this weekend, coach Steve Mariucci is hoping that Jones will just miss the October 10 game at Atlanta."
1,Kidnapped UN hostages call home,"KABUL - Two of three UN workers kidnapped in Afghanistan telephoned home to say they are OK and one expressed hope she soon would be free, officials and relatives said Tuesday."
2,Cricket: Smith withdraws from Windies squad,LONDON - Allrounder Dwayne Smith has pulled out of the West Indies cricket squad for this month #39;s ICC Champions Trophy event in England because of injury.
2,Broncos Defeat Chiefs 34-24 (AP),"AP - Quentin Griffin might make the Denver Broncos forget Clinton Portis after all. Griffin ran for 156 yards and scored three touchdowns in his first game as Portis' replacement, lifting the Broncos to a 34-24 victory over the Kansas City Chiefs on Sunday night."
