prompt,document,summary,pred_answer,score
"You are a summarization assistant. Read the article below. Write a brief summary of 3‑4 sentences that captures the key facts. Keep the tone neutral and factual, and avoid repeating information. Output only the summary, no additional text.","The 28-year-old has scored 37 goals in 98 appearances since joining the Lions from non-league Halifax in 2014. ""Lee committing his future to us is a big boost for everybody and a sensible decision from the boy,"" boss Neil Harris told the club website. ""He has played his best football under me and he is a big part of this squad.""","Striker Lee Gregory has signed a new contract with League One side Millwall, which will keep him at The Den until the summer of 2018.","{""summary"": ""The 28‑year‑old has scored 37 goals in 98 appearances for the Lions since joining from non‑league Halifax in 2014. Manager Neil Harris praised Lee’s decision to commit his future to the club, saying it is a boost for everyone. Harris also noted that Lee has played his best football under his guidance and is a key part of the squad.""}",0.465727150440216
"You are a summarization assistant. Read the article below. Write a brief summary of 3‑4 sentences that captures the key facts. Keep the tone neutral and factual, and avoid repeating information. Output only the summary, no additional text.","The step may make some important new medicines more affordable in the developing world, by leaving the way clear for generic companies to make cheap copies of GSK's drugs. GSK said it would adopt a graduated approach linked to a country's wealth. It said it would still seek full patent protection in richer nations. The company says the changes it is making should help people who currently cannot afford life saving medicine. In the world's poorest countries, it will allow other companies to make generics or cheaper copies of its medicine. In what it calls lower middle income countries it will continue to file patents but will grant licences to generic manufacturers in exchange for a royalty. Pharmaceutical firms are often criticised for not making their medicines affordable to people in developing countries, but the firms have argued that patenting their products is the only way to ensure research for new treatments can be funded. One exception is HIV/AIDS, where the price of drugs for people in many poor nations who are living with the condition have been drastically reduced. Sufferers of other serious illnesses though, for example, cancer, often cannot afford the drugs to treat them. GSK says changes to the way it patents drugs will make its next generation of cancer drugs more affordable. Recent figures showed GSK's sales rose 2% to £6.29bn in the quarter. However, the company fell to a pre-tax loss of £416m compared with a profit of £531m for the same period in 2014. New treatments for HIV, respiratory conditions and meningitis vaccines had sales of £682m in the quarter.",UK drugs manufacturer GlaxoSmithKline has said it will not file patents for its products in the world's poorest nations.,"{""summary"": ""GlaxoSmithKline (GSK) announced a graduated patent strategy that will allow generic manufacturers to produce cheaper copies of its drugs in the world’s poorest countries while maintaining full patent protection in wealthier markets. In lower‑middle‑income countries, GSK will file patents but grant licences to generics in exchange for royalties, aiming to make its next‑generation cancer treatments more affordable. The company said the changes would help patients who cannot currently afford life‑saving medicine, following criticism that pharmaceutical firms often keep prices high in developing regions. In the latest quarter, GSK’s sales rose 2 % to £6.29 bn, but the company reported a pre‑tax loss of £416 m, compared with a £531 m profit in the same period in 2014, while HIV, respiratory and meningitis vaccine sales reached £682 m.""}",0.6445316076278687
"You are a summarization assistant. Read the article below. Write a brief summary of 3‑4 sentences that captures the key facts. Keep the tone neutral and factual, and avoid repeating information. Output only the summary, no additional text.","The Tykes went ahead inside the opening 10 minutes when Roberts converted Conor Hourihane's corner. Fletcher doubled the lead following another Hourihane set-piece, smashing home after an error from Coventry goalkeeper Reice Charles-Cook. Barnsley are now seventh in the table, level on points with Coventry in sixth. Having endured a run of nine successive league defeats earlier this season, the Tykes have lost just once in their last 12 matches. Coventry have now lost two on the spin going into this Saturday's home game with Rochdale, when Barnsley will be at fourth-placed Walsall. Sky Blues boss Tony Mowbray told BBC Coventry & Warwickshire: ""We needed the players to turn up and not enough of them did. My standards are high and they did not do enough all night long. ""Barnsley are a powerful side. Their two centre backs were colossus tonight. They played like men. ""Everyone is down on confidence. The players have been great all season but we need them to get back to the high levels they have shown.""",Marc Roberts and Ashley Fletcher scored either side of half-time to help Barnsley to victory over fellow League One play-off-chasers Coventry City.,"{""summary"": ""Barnsley secured a 2‑0 win over Coventry City, with goals from Roberts and Fletcher, both coming from set‑pieces and a goalkeeper error. The victory places the Tykes in seventh place, level on points with sixth‑placed Coventry, after a recent run of nine straight defeats that has now been broken. Coventry head coach Tony Mowbray criticised his squad’s performance, noting a lack of effort and confidence, while Barnsley’s strong defensive showing was highlighted. The result leaves Coventry preparing for a home match against Rochdale, whereas Barnsley will travel to face fourth‑placed Walsall.""}",0.7767404317855835
"You are a summarization assistant. Read the article below. Write a brief summary of 3‑4 sentences that captures the key facts. Keep the tone neutral and factual, and avoid repeating information. Output only the summary, no additional text.","Archie Darby died on 13 October after being attacked by a Staffordshire bull terrier-type dog in Harwich Road, Colchester. Essex Coroner's Court heard the infant died from severe head injuries consistent with a dog attack. His 22-month-old brother Daniel-Jay was left with ""life-changing injuries"". The boys' mother was also hurt. Live: Read more about the hearing and other Essex news The dog was put down with the consent of its owner - the children's aunt - who has been named in reports as 31-year-old Clare Ferdinand, a serving Essex Police officer. Police are not treating the attack as a criminal investigation. During a brief hearing, coroner's officer David Dinnell said: ""Archie Darby was a four-month-old baby being held in his mother's arms when he was taken out of her arms by the family dog and attacked."" The inquest heard an ambulance was called and CPR was attempted but Archie was pronounced dead at the scene at 16:02 BST. Senior Essex Coroner Caroline Beasley-Murray said: ""Please let condolences be expressed to Archie's family at this very dreadful time for them."" A full hearing will take place in December.","A dog that mauled a four-month-old baby to death snatched the boy from his mother's arms, an inquest has heard.","{""summary"": ""Archie Darby, a four‑month‑old baby, died on 13 October after being attacked by a Staffordshire bull terrier‑type dog on Harwich Road, Colchester. The coroner’s court found he suffered severe head injuries and was pronounced dead at the scene, while his 22‑month‑old brother Daniel‑Jay and their mother sustained serious injuries. The dog was euthanised with the consent of its owner, 31‑year‑old Clare Ferdinand, a serving Essex Police officer, and the incident is not being treated as a criminal investigation. A full inquest is scheduled for December.""}",0.5111188888549805
"You are a summarization assistant. Read the article below. Write a brief summary of 3‑4 sentences that captures the key facts. Keep the tone neutral and factual, and avoid repeating information. Output only the summary, no additional text.","Her Majesty's Inspectorate of Constabulary (HMIC) said the Dyfed-Powys and north Wales forces ""required improvement"". South Wales and Gwent police forces were ranked ""good"". The reviews are part of HMIC's annual inspection of England and Wales' 43 forces. Police and crime commissioner Christopher Salmon said: ""We have more officers investigating the most serious crimes and my Help Hub has increased support for victims. ""There is always more to do but I am confident that Dyfed-Powys is effective and keeping people safe and reducing crime."" Police and crime commissioner Winston Roddick said: ""Over five years North Wales saw a 17.4% cut in crime which is better than the England and Wales average reduction of 12.6%. ""The chief constable accepts, as I do, there is always room for improvement and together we must make sure that the improvements recommended by HMIC are carried out as soon as possible."" Police and crime commissioner Ian Johnston said: ""It is pleasing to hear that all of that hard work has been recognised by HMIC and that the force has been found to be effective at protecting from harm those who are most vulnerable. ""This report is very good news and the challenge now is to build further still on the findings of the inspectors."" Alun Michael, police and crime commissioner, said: ""This report recognises that the priorities set by the chief constable and myself reflect a strong commitment to prevent crime, to support victims and to work in partnership. ""This is set out in our latest Police and Crime Reduction Plan, published last month, which had a strong focus on early intervention and prompt, positive action as well as effective partnership working.""",Two of Wales' four police forces have been told they must improve how they keep people safe and reduce crime.,"{""summary"": ""Her Majesty's Inspectorate of Constabulary (HMIC) rated the Dyfed‑Powys and North Wales police forces as “required improvement,” while South Wales and Gwent were judged “good.” The inspection is part of HMIC’s annual review of all 43 police forces in England and Wales. Police and crime commissioners from the affected areas highlighted ongoing efforts to increase serious‑crime investigations, support for victims, and crime‑reduction achievements, noting that improvements recommended by HMIC should be implemented promptly. The report also underscored the forces’ commitment to early intervention, partnership working, and protecting vulnerable communities.""}",0.7147998809814453
"You are a summarization assistant. Read the article below. Write a brief summary of 3‑4 sentences that captures the key facts. Keep the tone neutral and factual, and avoid repeating information. Output only the summary, no additional text.","Defeats by Munster, Edinburgh and Ulster were followed by a run of nine wins in 11 Pro12 and European games, including a win against Toulon. Ospreys beat Scarlets 19-9 on Tuesday. ""Hopefully it's just a glitch. We'll see next week if it's a huge step back,"" Owens told BBC Radio Wales. ""We've bounced back well, we didn't have a great start [losing first three games] but we've built momentum. ""We've got some great performances in during the international period and over the last couple of weeks."" Scarlets are fifth in the Pro12 following the Ospreys defeat but Owens is optimistic about their progress this season after a poor start to their league campaign. ""You can't win every game in the season and, as long as we turn up with a huge win against the Blues, then we'll be back in that winning groove again,"" Owens continued. ""You can't go all season winning every game, it's not going to happen, so we will put ourselves in a position now from the start we had."" Scott Williams says Ospreys' kicking game proved vital in the defeat and says they need to look at themselves closely before facing Cardiff Blues on New Year's Day. ""We knew it was going to be close but there were too many mistakes and too many penalties,"" Williams said. ""Our defence has been pretty good the last couple of weeks but you can't be giving penalties away when they've got boys like Dan Biggar and Sam Davies in their team. ""We'll be tough on ourselves now. We've got another derby in four days so we've got to get our heads on for that and make sure we turn up.""",Scarlets captain Ken Owens says they can bounce back from their derby defeat by west Wales rivals Ospreys - just like they recovered from losing their first three games of the season.,"{""summary"": ""Ospreys secured a 19‑9 victory over Scarlets, snapping a poor start that had seen them lose their first three games. The win comes after a run of nine victories in 11 Pro12 and European matches, including a notable triumph against Toulon. Coach Owens highlighted the team’s momentum and expressed optimism about returning to a winning rhythm, while captain Scott Williams noted that mistakes and penalties, especially in kicking, will need to be addressed before the upcoming derby against Cardiff Blues. Scarlets, now fifth in the Pro12, remain hopeful of improving their season after the defeat.""}",0.6552069187164307
"You are a summarization assistant. Read the article below. Write a brief summary of 3‑4 sentences that captures the key facts. Keep the tone neutral and factual, and avoid repeating information. Output only the summary, no additional text.","Both men retired on 105 as they punished a tiring students attack. Donald, 19, is the second youngest player to reach three figures for Glamorgan. The record is still held by Mike Llewellyn, who was aged 18 when he scored a century against Cambridge University in 1972. Donald had previously made 98 in the final game of the 2015 season against Gloucestershire. ""It was nice to tick it off, it's been looming over me a bit during the winter. It's really special, nice to get over the line in the first game of the season,"" Donald told BBC Wales Sport. ""Pleased for Dai as well, to have two maiden first-class tons in one game was a pretty good effort."" Lloyd, whose previous best was 92 at Northampton in 2015, reached his century with a six. ""I was just pleased to get over the line, and for Aneurin as well,"" he said. ""Last season was a stepping stone for me and hopefully I can go one step further with bat and ball."" The pair's run-scoring feats are likely to provide a difficult selection decision for Glamorgan's Championship opener against Leicestershire, with South Africa international batsman Colin Ingram yet to come into the side. ""Hopefully we've put ourselves up there for selection. It's about being in the mix, and you can't ask any more of ourselves to both get hundreds,"" said Donald. ""We accept this year there's going to be more competition for places which is a great thing for the club, pushing us as batters and bowlers."" Donald could still beat Matthew Maynard's record for the youngest Championship century, achieved in 1985. Earlier Glamorgan's top order had all spent time at the wicket without going on to make big scores, as James Turpin and Alex Thomson claimed two wickets apiece. The run-scoring exploits came after day one of the three-day match was washed out.",Glamorgan batsmen Aneurin Donald and David Lloyd both hit maiden first-class centuries as they piled up 444-7 against Cardiff MCCU.,"{""summary"": ""Donald, 19, became Glamorgan’s second youngest player to score a first‑class century, following Mike Llewellyn’s 1972 record at 18. He and teammate Lloyd both reached three‑figure scores in the same match, with Lloyd’s century coming on a six. Their performances are likely to influence Glamorgan’s selection for the upcoming Championship opener against Leicestershire, as the club balances competition for places. The pair’s achievements also highlight a shift from a previously low‑scoring top order in the team.""}",0.6954333782196045
"You are a summarization assistant. Read the article below. Write a brief summary of 3‑4 sentences that captures the key facts. Keep the tone neutral and factual, and avoid repeating information. Output only the summary, no additional text.","The move reunites the 21-year-old with former boss David Moyes, as well as ex-team-mates Donald Love and Paddy McNair who joined for a £5.5m fee this week. Belgium international Januzaj had asked to leave Old Trafford on a permanent transfer but United preferred a loan. He has scored five goals in 63 appearances for the club and is under contract until the summer of 2018. Januzaj spent four months on loan to Bundesliga side Borussia Dortmund last season, but played only 12 games before returning to his parent club. United boss Jose Mourinho said of the switch: ""He fits in my plans. That is why he is on loan at a Premier League club ""If he doesn't fit in my plans, I don't care where he is going, I just send him to Borussia Dortmund where he didn't play one match. He is talented.""",Manchester United winger Adnan Januzaj has joined fellow Premier League side Sunderland on a season-long loan.,"{""summary"": ""The transfer brings a 21‑year‑old player back to a club where he previously worked under former manager David Moyes, reuniting him with former teammates Donald Love and Paddy McNair, who joined for a £5.5 million fee this week. Belgium international Januzaj, who had requested a permanent exit from Old Trafford, will instead join on loan, having scored five goals in 63 appearances for the club and remaining under contract until summer 2018. He spent the previous season on loan at Borussia Dortmund, playing only 12 matches before returning. Manager Jose Mourinho said the player fits into his plans and praised his talent, noting that if he does not fit, he would simply send him elsewhere.""}",0.6267740726470947
"You are a summarization assistant. Read the article below. Write a brief summary of 3‑4 sentences that captures the key facts. Keep the tone neutral and factual, and avoid repeating information. Output only the summary, no additional text.","The blast happened in a cafe in the town of Velez-Malaga at about 17:00 GMT during a local festival. Pictures from the scene show severe damage to the La Bohemia cafe and debris strewn across a street. Local newspaper La Opinion de Malaga said that the chef had raised the alarm moments before the blast. The newspaper also reported (in Spanish) that police cars helped ferry the injured to hospital because the local ambulance service was overwhelmed with casualties. The cause of the blast ""could have been a gas leak,"" the town's mayor, Antonio Moreno Ferrer, told local reporters.","More than 70 people have been injured, four seriously, in an explosion caused by a suspected gas leak near the southern Spanish city of Malaga.","{""summary"": ""A blast struck the La Bohemia café in Velez‑Malaga around 17:00 GMT during a local festival, causing severe damage and scattering debris across the street. The chef reportedly raised the alarm moments before the explosion. Police vehicles were used to transport injured patrons to hospital because the ambulance service was overwhelmed. Mayor Antonio Moreno Ferrer suggested the blast may have been caused by a gas leak.""}",0.4866833984851837
"You are a summarization assistant. Read the article below. Write a brief summary of 3‑4 sentences that captures the key facts. Keep the tone neutral and factual, and avoid repeating information. Output only the summary, no additional text.","Andrew Jones, 34, was convicted of grievous bodily harm and robbery after he left Reg Stocking lying in a pool of blood in West Bromwich. A jury at Wolverhampton Crown Court also found him guilty of a burglary using Mr Stocking's car as a getaway. Jones, of Dingle Street, Sandwell, was remanded into custody to await sentencing on 4 December. He was also found guilty of witness intimidation. Mr Stocking's blue Peugeot 207 was taken outside his home in Chapel Street, West Bromwich. Jones hid before jumping into the car while Mr Stocking opened his driveway gate, said West Midlands Police. Mr Stocking tried to stop Jones but he was hit and dragged by the car which left him in a critical condition with serious head injuries. Jones used the car as a getaway vehicle to steal a TV from a property in Groveland Road, Tipton just hours later. He stored the TV at his ex-partner's flat in Kendrick House saying ""ask no questions and I will tell no lies"". His ex-partner Stacey Johnson, 26, pleaded guilty to handling stolen goods at an earlier hearing and received a 12 month community order and was ordered to pay costs of Â£300. Detective Inspector Pete Rowe, from West Bromwich CID, said of the conviction: ""We hope that this will give some comfort to the family as their loved one continues to recover from his ordeal and injuries.""","A man has been found guilty of a car-jacking attack which left a 78-year-old man wheelchair bound, a court heard.","{""summary"": ""Andrew Jones, 34, was convicted of grievous bodily harm, robbery, burglary and witness intimidation after he left Reg Stocking lying in a pool of blood in West Bromwich and used Stocking’s car as a getaway.  Jones also stole a TV from a property in Tipton and stored it at his ex‑partner’s flat.  He was remanded into custody to await sentencing on 4 December.  His ex‑partner, Stacey Johnson, pleaded guilty to handling stolen goods and received a 12‑month community order and a £300 cost order.""}",0.3209665417671203
