prompt,document,summary,pred_answer,score
"As a summarization assistant, read the article below and produce a single-sentence summary that captures its main idea. The summary must be 25 words or fewer, must not include any direct quotations from the article, and must be the only content in your reply.","Berahino, 22, had said he would not play under Albion chairman Jeremy Peace again after the club rejected two deadline-day offers from Tottenham. But he made his first start since at Villa, poking home a first-half strike. ""It's over now. As a club we move on and he's a very good player,"" Pulis said after the game. ""This game was made for Saido. He's not played a lot of football and looked tired as the game went on, but he was desperate to play and he has the quality that we want and need. ""Everyone makes mistakes - in a few years' time he will look back on the situation and think he should have done better."" England Under-21s forward Berahino returned to the Baggies squad last week after a three-game absence, coming off the bench in the 0-0 draw with Southampton.",West Brom manager Tony Pulis says they have moved on from Saido Berahino's threat to strike after he scored the only goal in their win at Aston Villa.,"{""summary"": ""Berahino returned to Birmingham City, scored on his first start after a brief absence, despite earlier disputes over his future.""}",0.5076159238815308
"As a summarization assistant, read the article below and produce a single-sentence summary that captures its main idea. The summary must be 25 words or fewer, must not include any direct quotations from the article, and must be the only content in your reply.","The 28-year-old has scored 37 goals in 98 appearances since joining the Lions from non-league Halifax in 2014. ""Lee committing his future to us is a big boost for everybody and a sensible decision from the boy,"" boss Neil Harris told the club website. ""He has played his best football under me and he is a big part of this squad.""","Striker Lee Gregory has signed a new contract with League One side Millwall, which will keep him at The Den until the summer of 2018.","{""summary"": ""The Lions’ 28‑year‑old, who has scored 37 goals in 98 matches since 2014, is hailed by manager Neil Harris as a key squad member.""}",0.2455195039510727
"As a summarization assistant, read the article below and produce a single-sentence summary that captures its main idea. The summary must be 25 words or fewer, must not include any direct quotations from the article, and must be the only content in your reply.","Archie Darby died on 13 October after being attacked by a Staffordshire bull terrier-type dog in Harwich Road, Colchester. Essex Coroner's Court heard the infant died from severe head injuries consistent with a dog attack. His 22-month-old brother Daniel-Jay was left with ""life-changing injuries"". The boys' mother was also hurt. Live: Read more about the hearing and other Essex news The dog was put down with the consent of its owner - the children's aunt - who has been named in reports as 31-year-old Clare Ferdinand, a serving Essex Police officer. Police are not treating the attack as a criminal investigation. During a brief hearing, coroner's officer David Dinnell said: ""Archie Darby was a four-month-old baby being held in his mother's arms when he was taken out of her arms by the family dog and attacked."" The inquest heard an ambulance was called and CPR was attempted but Archie was pronounced dead at the scene at 16:02 BST. Senior Essex Coroner Caroline Beasley-Murray said: ""Please let condolences be expressed to Archie's family at this very dreadful time for them."" A full hearing will take place in December.","A dog that mauled a four-month-old baby to death snatched the boy from his mother's arms, an inquest has heard.","{""summary"": ""Four-month-old Archie Darby died after a dog attack in Colchester, leaving his brother injured; the dog was euthanized, and a coroner's hearing will follow.""}",0.4555674791336059
"As a summarization assistant, read the article below and produce a single-sentence summary that captures its main idea. The summary must be 25 words or fewer, must not include any direct quotations from the article, and must be the only content in your reply.","The Tykes went ahead inside the opening 10 minutes when Roberts converted Conor Hourihane's corner. Fletcher doubled the lead following another Hourihane set-piece, smashing home after an error from Coventry goalkeeper Reice Charles-Cook. Barnsley are now seventh in the table, level on points with Coventry in sixth. Having endured a run of nine successive league defeats earlier this season, the Tykes have lost just once in their last 12 matches. Coventry have now lost two on the spin going into this Saturday's home game with Rochdale, when Barnsley will be at fourth-placed Walsall. Sky Blues boss Tony Mowbray told BBC Coventry & Warwickshire: ""We needed the players to turn up and not enough of them did. My standards are high and they did not do enough all night long. ""Barnsley are a powerful side. Their two centre backs were colossus tonight. They played like men. ""Everyone is down on confidence. The players have been great all season but we need them to get back to the high levels they have shown.""",Marc Roberts and Ashley Fletcher scored either side of half-time to help Barnsley to victory over fellow League One play-off-chasers Coventry City.,"{""summary"": ""Barnsley secured a 2‑0 win over Coventry, breaking a losing streak, while Coventry manager Tony Mowbray condemned his squad’s lack of effort and confidence.""}",0.7581361532211304
"As a summarization assistant, read the article below and produce a single-sentence summary that captures its main idea. The summary must be 25 words or fewer, must not include any direct quotations from the article, and must be the only content in your reply.","The blast happened in a cafe in the town of Velez-Malaga at about 17:00 GMT during a local festival. Pictures from the scene show severe damage to the La Bohemia cafe and debris strewn across a street. Local newspaper La Opinion de Malaga said that the chef had raised the alarm moments before the blast. The newspaper also reported (in Spanish) that police cars helped ferry the injured to hospital because the local ambulance service was overwhelmed with casualties. The cause of the blast ""could have been a gas leak,"" the town's mayor, Antonio Moreno Ferrer, told local reporters.","More than 70 people have been injured, four seriously, in an explosion caused by a suspected gas leak near the southern Spanish city of Malaga.","{""summary"": ""A blast at La Bohemia cafe in Velez‑Malaga during a festival caused extensive damage and injuries, with police evacuating victims amid a suspected gas leak.""}",0.5778926610946655
"As a summarization assistant, read the article below and produce a single-sentence summary that captures its main idea. The summary must be 25 words or fewer, must not include any direct quotations from the article, and must be the only content in your reply.","Her Majesty's Inspectorate of Constabulary (HMIC) said the Dyfed-Powys and north Wales forces ""required improvement"". South Wales and Gwent police forces were ranked ""good"". The reviews are part of HMIC's annual inspection of England and Wales' 43 forces. Police and crime commissioner Christopher Salmon said: ""We have more officers investigating the most serious crimes and my Help Hub has increased support for victims. ""There is always more to do but I am confident that Dyfed-Powys is effective and keeping people safe and reducing crime."" Police and crime commissioner Winston Roddick said: ""Over five years North Wales saw a 17.4% cut in crime which is better than the England and Wales average reduction of 12.6%. ""The chief constable accepts, as I do, there is always room for improvement and together we must make sure that the improvements recommended by HMIC are carried out as soon as possible."" Police and crime commissioner Ian Johnston said: ""It is pleasing to hear that all of that hard work has been recognised by HMIC and that the force has been found to be effective at protecting from harm those who are most vulnerable. ""This report is very good news and the challenge now is to build further still on the findings of the inspectors."" Alun Michael, police and crime commissioner, said: ""This report recognises that the priorities set by the chief constable and myself reflect a strong commitment to prevent crime, to support victims and to work in partnership. ""This is set out in our latest Police and Crime Reduction Plan, published last month, which had a strong focus on early intervention and prompt, positive action as well as effective partnership working.""",Two of Wales' four police forces have been told they must improve how they keep people safe and reduce crime.,"{""summary"": ""HMIC’s inspection found Dyfed‑Powys and North Wales police forces need improvement, while South Wales and Gwent were rated good, prompting commissioners to pledge action.""}",0.6645662784576416
"As a summarization assistant, read the article below and produce a single-sentence summary that captures its main idea. The summary must be 25 words or fewer, must not include any direct quotations from the article, and must be the only content in your reply.","Margarita Louis-Dreyfus, Marseille's billionaire owner, said in April that she would sell the club following poor results and protests from fans. McCourt, speaking at a news conference, said: ""I'm very excited about making Marseille a champion again."" A deal is set to be completed by the end of the year and no fee has yet been disclosed. Appearing alongside Louis-Dreyfus and Marseille mayor Jean-Claude Gaudin, 63-year-old McCourt said he wants a team that can compete ""year in, year out"" to win Ligue 1. Marseille, who finished 13th in 2015/16 and lost to PSG in the French cup final, are 11th after three games this season.","Frank McCourt, the former owner of the LA Dodgers baseball team, is set to buy French Ligue 1 club Marseille.","{""summary"": ""Marseille owner plans to sell the club, while new owner McCourt aims to rebuild the team to compete for and win Ligue 1.""}",0.7213945984840393
"As a summarization assistant, read the article below and produce a single-sentence summary that captures its main idea. The summary must be 25 words or fewer, must not include any direct quotations from the article, and must be the only content in your reply.","Scientists and charities say the human papilloma virus (HPV) jab will protect them from head and neck cancers. HPV is sexually transmitted and girls aged 12 and 13 receive the vaccine to protect them against cervical cancer. The Welsh government said it is waiting for advice from the Joint Committee on Vaccination and Immunisation. Charities including Tenovus Cancer Care and organisations such as BMA Cymru and Cardiff University's HPV research team will deliver a letter to the Welsh government on Monday calling for the vaccination to be rolled out. They told BBC Radio Wales' Eye on Wales programme the number of head and neck cancer cases are increasing. Dr Mererid Evans, consultant oncologist at Velindre Hospital in Cardiff, said: ""I've seen a difference in demographics over the last ten years. ""These are younger people with families, and three-quarters of those affected are men. The average age is 55 and most are non-smokers."" Jon Antoniazzi, from Tenovus Cancer Care, added: ""HPV causes 5% of the global cancer burden. ""What the Welsh government could be doing right now is taking a progressive step to stem the tide of these cancers, and show that it really takes the public health of its citizens seriously. ""We urge them to diverge from central thinking and vaccinate boys now."" In 2008, a vaccination programme was rolled out in schools and 85% of girls in Wales have been vaccinated. The Welsh government said: ""We will await the committee's recommendations and will consider the implications for Wales of any proposed changes to the HPV vaccination programme.""","Boys should receive a cancer vaccine - already given to young girls - to stop them developing strains of the disease, experts have said.","{""summary"": ""Charities urge the Welsh government to expand the HPV vaccine to boys to curb rising head and neck cancers, while officials await committee guidance.""}",0.5980220437049866
"As a summarization assistant, read the article below and produce a single-sentence summary that captures its main idea. The summary must be 25 words or fewer, must not include any direct quotations from the article, and must be the only content in your reply.","The move reunites the 21-year-old with former boss David Moyes, as well as ex-team-mates Donald Love and Paddy McNair who joined for a £5.5m fee this week. Belgium international Januzaj had asked to leave Old Trafford on a permanent transfer but United preferred a loan. He has scored five goals in 63 appearances for the club and is under contract until the summer of 2018. Januzaj spent four months on loan to Bundesliga side Borussia Dortmund last season, but played only 12 games before returning to his parent club. United boss Jose Mourinho said of the switch: ""He fits in my plans. That is why he is on loan at a Premier League club ""If he doesn't fit in my plans, I don't care where he is going, I just send him to Borussia Dortmund where he didn't play one match. He is talented.""",Manchester United winger Adnan Januzaj has joined fellow Premier League side Sunderland on a season-long loan.,"{""summary"": ""The loan move brings 21‑year‑old Januzaj back to Old Trafford, reuniting him with former boss Moyes and teammates after a limited stint at Dortmund.""}",0.6871697306632996
"As a summarization assistant, read the article below and produce a single-sentence summary that captures its main idea. The summary must be 25 words or fewer, must not include any direct quotations from the article, and must be the only content in your reply.",Residents awoke from a night of colourful fireworks to find the city covered in a thick grey blanket of smog and authorities warned that pollution levels were critically high.,Diwali celebrations in the Indian capital Delhi have seen air pollution rise to hazardous levels after many firecrackers were set off.,"{""summary"": ""After fireworks, residents woke to a smog‑covered city, with officials warning of dangerously high pollution levels.""}",0.5583966970443726
