prompt,title,context,question,answer,pred_answer,score
"Given the following context and question, return the answer that is contained in the context. If the answer cannot be found, reply with exactly ""No answer"". Provide only the answer, no additional commentary or formatting.",Pharmacy,"Of particular concern with Internet pharmacies is the ease with which people, youth in particular, can obtain controlled substances (e.g., Vicodin, generically known as hydrocodone) via the Internet without a prescription issued by a doctor/practitioner who has an established doctor-patient relationship. There are many instances where a practitioner issues a prescription, brokered by an Internet server, for a controlled substance to a ""patient"" s/he has never met.[citation needed] In the United States, in order for a prescription for a controlled substance to be valid, it must be issued for a legitimate medical purpose by a licensed practitioner acting in the course of legitimate doctor-patient relationship. The filling pharmacy has a corresponding responsibility to ensure that the prescription is valid. Often, individual state laws outline what defines a valid patient-doctor relationship.",What is not an example of a controlled substance?,No answer,"{""answer"": ""No answer""}",1.0000001192092896
"Given the following context and question, return the answer that is contained in the context. If the answer cannot be found, reply with exactly ""No answer"". Provide only the answer, no additional commentary or formatting.",Immune_system,"Leukocytes (white blood cells) act like independent, single-celled organisms and are the second arm of the innate immune system. The innate leukocytes include the phagocytes (macrophages, neutrophils, and dendritic cells), mast cells, eosinophils, basophils, and natural killer cells. These cells identify and eliminate pathogens, either by attacking larger pathogens through contact or by engulfing and then killing microorganisms. Innate cells are also important mediators in the activation of the adaptive immune system.",What are white blood cells known as?,Leukocytes,"{""answer"": ""Leukocytes.""}",0.9662381410598756
"Given the following context and question, return the answer that is contained in the context. If the answer cannot be found, reply with exactly ""No answer"". Provide only the answer, no additional commentary or formatting.",French_and_Indian_War,"In Europe, the North American theater of the Seven Years' War usually is not given a separate name. The entire international conflict is known as the Seven Years' War. ""Seven Years"" refers to events in Europe, from the official declaration of war in 1756 to the signing of the peace treaty in 1763. These dates do not correspond with the fighting on mainland North America, where the fighting between the two colonial powers was largely concluded in six years, from the Battle of Jumonville Glen in 1754 to the capture of Montreal in 1760.",What time frame doesn't the Seven Years War cover?,No answer,"{""answer"": ""The North American fighting from 1754 to 1760.""}",0.1190555244684219
"Given the following context and question, return the answer that is contained in the context. If the answer cannot be found, reply with exactly ""No answer"". Provide only the answer, no additional commentary or formatting.",Pharmacy,"Of particular concern with Internet pharmacies is the ease with which people, youth in particular, can obtain controlled substances (e.g., Vicodin, generically known as hydrocodone) via the Internet without a prescription issued by a doctor/practitioner who has an established doctor-patient relationship. There are many instances where a practitioner issues a prescription, brokered by an Internet server, for a controlled substance to a ""patient"" s/he has never met.[citation needed] In the United States, in order for a prescription for a controlled substance to be valid, it must be issued for a legitimate medical purpose by a licensed practitioner acting in the course of legitimate doctor-patient relationship. The filling pharmacy has a corresponding responsibility to ensure that the prescription is valid. Often, individual state laws outline what defines a valid patient-doctor relationship.",What is one problem with internet pharmacies?,"the ease with which people, youth in particular, can obtain controlled substances","{""answer"": ""They allow people—especially youth—to obtain controlled substances online without a legitimate prescription.""}",0.652248203754425
"Given the following context and question, return the answer that is contained in the context. If the answer cannot be found, reply with exactly ""No answer"". Provide only the answer, no additional commentary or formatting.","Fresno,_California","Homes from the early 20th century line this boulevard in the heart of the historic Alta Vista Tract. The section of Huntington Boulevard between First Street on the west to Cedar Avenue on the east is the home to many large, stately homes. The original development of this area began circa 1910, on 190 acres of what had been an alfalfa field. The Alta Vista Tract, as the land would become known, was mapped by William Stranahan for the Pacific Improvement Corporation, and was officially platted in 1911. The tract's boundaries were Balch Avenue on the south, Cedar Avenue on the east, the rear property line of Platt Avenue (east of Sixth Street) and Platt Avenue (west of Sixth Street) on the north, and First Street on the west. The subdivision was annexed to the City in January 1912, in an election that was the first in which women voted in the community. At the time of its admission to the City, the Alta Vista Tract was uninhabited but landscaped, although the trees had to be watered by tank wagon. In 1914 developers Billings & Meyering acquired the tract, completed street development, provided the last of the necessary municipal improvements including water service, and began marketing the property with fervor. A mere half decade later the tract had 267 homes. This rapid development was no doubt hastened by the Fresno Traction Company right-of-way along Huntington Boulevard, which provided streetcar connections between downtown and the County Hospital.",Who planted the alfalfa fields?,No answer,"{""answer"": ""No answer""}",1.0000001192092896
"Given the following context and question, return the answer that is contained in the context. If the answer cannot be found, reply with exactly ""No answer"". Provide only the answer, no additional commentary or formatting.",Scottish_Parliament,"The total number of seats in the Parliament are allocated to parties proportionally to the number of votes received in the second vote of the ballot using the d'Hondt method. For example, to determine who is awarded the first list seat, the number of list votes cast for each party is divided by one plus the number of seats the party won in the region (at this point just constituency seats). The party with the highest quotient is awarded the seat, which is then added to its constituency seats in allocating the second seat. This is repeated iteratively until all available list seats are allocated.",What method is used for tallying votes in the second vote of the ballot?,the d'Hondt method,"{""answer"": ""d'Hondt method""}",0.9222888350486756
"Given the following context and question, return the answer that is contained in the context. If the answer cannot be found, reply with exactly ""No answer"". Provide only the answer, no additional commentary or formatting.",Normans,"In the visual arts, the Normans did not have the rich and distinctive traditions of the cultures they conquered. However, in the early 11th century the dukes began a programme of church reform, encouraging the Cluniac reform of monasteries and patronising intellectual pursuits, especially the proliferation of scriptoria and the reconstitution of a compilation of lost illuminated manuscripts. The church was utilised by the dukes as a unifying force for their disparate duchy. The chief monasteries taking part in this ""renaissance"" of Norman art and scholarship were Mont-Saint-Michel, Fécamp, Jumièges, Bec, Saint-Ouen, Saint-Evroul, and Saint-Wandrille. These centres were in contact with the so-called ""Winchester school"", which channeled a pure Carolingian artistic tradition to Normandy. In the final decade of the 11th and first of the 12th century, Normandy experienced a golden age of illustrated manuscripts, but it was brief and the major scriptoria of Normandy ceased to function after the midpoint of the century.",Who began a program of church reform in the 1100s,No answer,"{""answer"": ""the dukes""}",0.1480268687009811
"Given the following context and question, return the answer that is contained in the context. If the answer cannot be found, reply with exactly ""No answer"". Provide only the answer, no additional commentary or formatting.",Force,"Pushing against an object on a frictional surface can result in a situation where the object does not move because the applied force is opposed by static friction, generated between the object and the table surface. For a situation with no movement, the static friction force exactly balances the applied force resulting in no acceleration. The static friction increases or decreases in response to the applied force up to an upper limit determined by the characteristics of the contact between the surface and the object.",Static friction balances what force when there is no movement of an object on a surface?,applied,"{""answer"": ""the applied force""}",0.2103092670440673
"Given the following context and question, return the answer that is contained in the context. If the answer cannot be found, reply with exactly ""No answer"". Provide only the answer, no additional commentary or formatting.",Rhine,"The Lower Rhine flows through North Rhine-Westphalia. Its banks are usually heavily populated and industrialized, in particular the agglomerations Cologne, Düsseldorf and Ruhr area. Here the Rhine flows through the largest conurbation in Germany, the Rhine-Ruhr region. One of the most important cities in this region is Duisburg with the largest river port in Europe (Duisport). The region downstream of Duisburg is more agricultural. In Wesel, 30 km downstream of Duisburg, is located the western end of the second east-west shipping route, the Wesel-Datteln Canal, which runs parallel to the Lippe. Between Emmerich and Cleves the Emmerich Rhine Bridge, the longest suspension bridge in Germany, crosses the 400 m wide river. Near Krefeld, the river crosses the Uerdingen line, the line which separates the areas where Low German and High German are spoken.",What does the Wessel-Datteln canal run parallel to?,Lippe,"{""answer"": ""the Lippe.""}",0.7963514924049377
"Given the following context and question, return the answer that is contained in the context. If the answer cannot be found, reply with exactly ""No answer"". Provide only the answer, no additional commentary or formatting.",Intergovernmental_Panel_on_Climate_Change,"The IPCC receives funding through the IPCC Trust Fund, established in 1989 by the United Nations Environment Programme (UNEP) and the World Meteorological Organization (WMO), Costs of the Secretary and of housing the secretariat are provided by the WMO, while UNEP meets the cost of the Depute Secretary. Annual cash contributions to the Trust Fund are made by the WMO, by UNEP, and by IPCC Members; the scale of payments is determined by the IPCC Panel, which is also responsible for considering and adopting by consensus the annual budget. The organisation is required to comply with the Financial Regulations and Rules of the WMO.",When was UNEP founded?,No answer,"{""answer"": ""No answer""}",1.0000001192092896
